iter,cohort,case,PTEN,EGF_nM
iter 4,BR,Case60,28050,15
iter 5,BR,Case60,28050,15
iter 6,BR,Case60,28050,15
iter 7,BR,Case60,28050,15
iter 8,BR,Case60,28050,15
iter 1,BR,Case61,33660,15
iter 2,BR,Case61,33660,15
iter 3,BR,Case61,33660,15
iter 4,BR,Case61,33660,15
iter 5,BR,Case61,33660,15
iter 6,BR,Case61,33660,15
iter 7,BR,Case61,33660,15
iter 8,BR,Case61,33660,15
iter 1,BR,Case62,44880,15
iter 2,BR,Case62,44880,15
iter 3,BR,Case62,44880,15
iter 4,BR,Case62,44880,15
iter 5,BR,Case62,44880,15
iter 6,BR,Case62,44880,15
iter 7,BR,Case62,44880,15
iter 8,BR,Case62,44880,15
iter 1,BR,Case63,56100,15
iter 2,BR,Case63,56100,15
iter 3,BR,Case63,56100,15
iter 4,BR,Case63,56100,15
iter 5,BR,Case63,56100,15
iter 6,BR,Case63,56100,15
iter 7,BR,Case63,56100,15
iter 8,BR,Case63,56100,15
iter 1,BR,Case64,561,20
iter 2,BR,Case64,561,20
iter 3,BR,Case64,561,20
iter 4,BR,Case64,561,20
iter 5,BR,Case64,561,20
iter 6,BR,Case64,561,20
iter 7,BR,Case64,561,20
iter 8,BR,Case64,561,20
iter 1,BR,Case65,5610,20
iter 2,BR,Case65,5610,20
iter 3,BR,Case65,5610,20
iter 4,BR,Case65,5610,20
iter 5,BR,Case65,5610,20
iter 6,BR,Case65,5610,20
iter 7,BR,Case65,5610,20
iter 8,BR,Case65,5610,20
iter 1,BR,Case66,11220,20
iter 2,BR,Case66,11220,20
iter 3,BR,Case66,11220,20
iter 4,BR,Case66,11220,20
iter 5,BR,Case66,11220,20
iter 6,BR,Case66,11220,20
iter 7,BR,Case66,11220,20
iter 8,BR,Case66,11220,20
iter 1,BR,Case67,22440,20
iter 2,BR,Case67,22440,20
iter 3,BR,Case67,22440,20
iter 4,BR,Case67,22440,20
iter 5,BR,Case67,22440,20
iter 6,BR,Case67,22440,20
iter 7,BR,Case67,22440,20
iter 8,BR,Case67,22440,20
iter 1,BR,Case68,28050,20
iter 2,BR,Case68,28050,20
iter 3,BR,Case68,28050,20
iter 4,BR,Case68,28050,20
iter 5,BR,Case68,28050,20
iter 6,BR,Case68,28050,20
iter 7,BR,Case68,28050,20
iter 8,BR,Case68,28050,20
iter 1,BR,Case69,33660,20
iter 2,BR,Case69,33660,20
iter 3,BR,Case69,33660,20
iter 4,BR,Case69,33660,20
iter 5,BR,Case69,33660,20
iter 6,BR,Case69,33660,20
iter 7,BR,Case69,33660,20
iter 8,BR,Case69,33660,20
iter 1,BR,Case70,44880,20
iter 2,BR,Case70,44880,20
iter 3,BR,Case70,44880,20
iter 4,BR,Case70,44880,20
iter 5,BR,Case70,44880,20
iter 6,BR,Case70,44880,20
iter 7,BR,Case70,44880,20
iter 8,BR,Case70,44880,20
iter 1,BR,Case71,56100,20
iter 2,BR,Case71,56100,20
iter 3,BR,Case71,56100,20
iter 4,BR,Case71,56100,20
iter 5,BR,Case71,56100,20
iter 6,BR,Case71,56100,20
iter 7,BR,Case71,56100,20
iter 8,BR,Case71,56100,20
iter 1,BR,Case72,561,30
iter 2,BR,Case72,561,30
iter 3,BR,Case72,561,30
iter 4,BR,Case72,561,30
iter 5,BR,Case72,561,30
iter 6,BR,Case72,561,30
iter 7,BR,Case72,561,30
iter 8,BR,Case72,561,30
iter 1,BR,Case73,5610,30
iter 2,BR,Case73,5610,30
iter 3,BR,Case73,5610,30
iter 4,BR,Case73,5610,30
iter 5,BR,Case73,5610,30
iter 6,BR,Case73,5610,30
iter 7,BR,Case73,5610,30
iter 8,BR,Case73,5610,30
iter 1,BR,Case74,11220,30
iter 2,BR,Case74,11220,30
iter 3,BR,Case74,11220,30
iter 4,BR,Case74,11220,30
iter 5,BR,Case74,11220,30
iter 6,BR,Case74,11220,30
iter 7,BR,Case74,11220,30
iter 8,BR,Case74,11220,30
iter 1,BR,Case75,22440,30
iter 2,BR,Case75,22440,30
iter 3,BR,Case75,22440,30
iter 4,BR,Case75,22440,30
iter 5,BR,Case75,22440,30
iter 6,BR,Case75,22440,30
iter 7,BR,Case75,22440,30
iter 8,BR,Case75,22440,30
iter 1,BR,Case76,28050,30
iter 2,BR,Case76,28050,30
iter 3,BR,Case76,28050,30
iter 4,BR,Case76,28050,30
iter 5,BR,Case76,28050,30
iter 6,BR,Case76,28050,30
iter 7,BR,Case76,28050,30
iter 8,BR,Case76,28050,30
iter 1,BR,Case77,33660,30
iter 2,BR,Case77,33660,30
iter 3,BR,Case77,33660,30
iter 4,BR,Case77,33660,30
iter 5,BR,Case77,33660,30
iter 6,BR,Case77,33660,30
iter 7,BR,Case77,33660,30
iter 8,BR,Case77,33660,30
iter 1,BR,Case78,44880,30
iter 2,BR,Case78,44880,30
iter 3,BR,Case78,44880,30
iter 4,BR,Case78,44880,30
iter 5,BR,Case78,44880,30
iter 6,BR,Case78,44880,30
iter 7,BR,Case78,44880,30
iter 8,BR,Case78,44880,30
iter 1,BR,Case79,56100,30
iter 2,BR,Case79,56100,30
iter 3,BR,Case79,56100,30
iter 4,BR,Case79,56100,30
iter 5,BR,Case79,56100,30
iter 6,BR,Case79,56100,30
iter 7,BR,Case79,56100,30
iter 8,BR,Case79,56100,30
iter 1,TF,Case0,561,0.01
iter 2,TF,Case0,561,0.01
iter 3,TF,Case0,561,0.01
iter 4,TF,Case0,561,0.01
iter 5,TF,Case0,561,0.01
iter 6,TF,Case0,561,0.01
iter 7,TF,Case0,561,0.01
iter 8,TF,Case0,561,0.01
iter 1,TF,Case1,5610,0.01
iter 2,TF,Case1,5610,0.01
iter 3,TF,Case1,5610,0.01
iter 4,TF,Case1,5610,0.01
iter 5,TF,Case1,5610,0.01
iter 6,TF,Case1,5610,0.01
iter 7,TF,Case1,5610,0.01
iter 8,TF,Case1,5610,0.01
iter 1,TF,Case2,11220,0.01
iter 2,TF,Case2,11220,0.01
iter 3,TF,Case2,11220,0.01
iter 4,TF,Case2,11220,0.01
iter 5,TF,Case2,11220,0.01
iter 6,TF,Case2,11220,0.01
iter 7,TF,Case2,11220,0.01
iter 8,TF,Case2,11220,0.01
iter 1,TF,Case3,22440,0.01
iter 2,TF,Case3,22440,0.01
iter 3,TF,Case3,22440,0.01
iter 4,TF,Case3,22440,0.01
iter 5,TF,Case3,22440,0.01
iter 6,TF,Case3,22440,0.01
iter 7,TF,Case3,22440,0.01
iter 8,TF,Case3,22440,0.01
iter 1,TF,Case4,28050,0.01
iter 2,TF,Case4,28050,0.01
iter 3,TF,Case4,28050,0.01
iter 4,TF,Case4,28050,0.01
iter 5,TF,Case4,28050,0.01
iter 6,TF,Case4,28050,0.01
iter 7,TF,Case4,28050,0.01
iter 8,TF,Case4,28050,0.01
iter 1,TF,Case5,33660,0.01
iter 2,TF,Case5,33660,0.01
iter 3,TF,Case5,33660,0.01
iter 4,TF,Case5,33660,0.01
iter 5,TF,Case5,33660,0.01
iter 6,TF,Case5,33660,0.01
iter 7,TF,Case5,33660,0.01
iter 8,TF,Case5,33660,0.01
iter 1,TF,Case6,44880,0.01
iter 2,TF,Case6,44880,0.01
iter 3,TF,Case6,44880,0.01
iter 4,TF,Case6,44880,0.01
iter 5,TF,Case6,44880,0.01
iter 6,TF,Case6,44880,0.01
iter 7,TF,Case6,44880,0.01
iter 8,TF,Case6,44880,0.01
iter 1,TF,Case7,56100,0.01
iter 2,TF,Case7,56100,0.01
iter 3,TF,Case7,56100,0.01
iter 4,TF,Case7,56100,0.01
iter 5,TF,Case7,56100,0.01
iter 6,TF,Case7,56100,0.01
iter 7,TF,Case7,56100,0.01
iter 8,TF,Case7,56100,0.01
iter 1,TF,Case8,561,0.03
iter 2,TF,Case8,561,0.03
iter 3,TF,Case8,561,0.03
iter 4,TF,Case8,561,0.03
iter 5,TF,Case8,561,0.03
iter 6,TF,Case8,561,0.03
iter 7,TF,Case8,561,0.03
iter 8,TF,Case8,561,0.03
iter 1,TF,Case9,5610,0.03
iter 2,TF,Case9,5610,0.03
iter 3,TF,Case9,5610,0.03
iter 4,TF,Case9,5610,0.03
iter 5,TF,Case9,5610,0.03
iter 6,TF,Case9,5610,0.03
iter 7,TF,Case9,5610,0.03
iter 8,TF,Case9,5610,0.03
iter 1,TF,Case10,11220,0.03
iter 2,TF,Case10,11220,0.03
iter 3,TF,Case10,11220,0.03
iter 4,TF,Case10,11220,0.03
iter 5,TF,Case10,11220,0.03
iter 6,TF,Case10,11220,0.03
iter 7,TF,Case10,11220,0.03
iter 8,TF,Case10,11220,0.03
iter 1,TF,Case11,22440,0.03
iter 2,TF,Case11,22440,0.03
iter 3,TF,Case11,22440,0.03
iter 4,TF,Case11,22440,0.03
iter 5,TF,Case11,22440,0.03
iter 6,TF,Case11,22440,0.03
iter 7,TF,Case11,22440,0.03
iter 8,TF,Case11,22440,0.03
iter 1,TF,Case12,28050,0.03
iter 2,TF,Case12,28050,0.03
iter 3,TF,Case12,28050,0.03
iter 4,TF,Case12,28050,0.03
iter 5,TF,Case12,28050,0.03
iter 6,TF,Case12,28050,0.03
iter 7,TF,Case12,28050,0.03
iter 8,TF,Case12,28050,0.03
iter 1,TF,Case13,33660,0.03
iter 2,TF,Case13,33660,0.03
iter 3,TF,Case13,33660,0.03
iter 4,TF,Case13,33660,0.03
iter 5,TF,Case13,33660,0.03
iter 6,TF,Case13,33660,0.03
iter 7,TF,Case13,33660,0.03
iter 8,TF,Case13,33660,0.03
iter 1,TF,Case14,44880,0.03
iter 2,TF,Case14,44880,0.03
iter 3,TF,Case14,44880,0.03
iter 4,TF,Case14,44880,0.03
iter 5,TF,Case14,44880,0.03
iter 6,TF,Case14,44880,0.03
iter 7,TF,Case14,44880,0.03
iter 8,TF,Case14,44880,0.03
iter 1,TF,Case15,56100,0.03
iter 2,TF,Case15,56100,0.03
iter 3,TF,Case15,56100,0.03
iter 4,TF,Case15,56100,0.03
iter 5,TF,Case15,56100,0.03
iter 6,TF,Case15,56100,0.03
iter 7,TF,Case15,56100,0.03
iter 8,TF,Case15,56100,0.03
iter 1,TF,Case16,561,0.05
iter 2,TF,Case16,561,0.05
iter 3,TF,Case16,561,0.05
iter 4,TF,Case16,561,0.05
iter 5,TF,Case16,561,0.05
iter 6,TF,Case16,561,0.05
iter 7,TF,Case16,561,0.05
iter 8,TF,Case16,561,0.05
iter 1,TF,Case17,5610,0.05
iter 2,TF,Case17,5610,0.05
iter 3,TF,Case17,5610,0.05
iter 4,TF,Case17,5610,0.05
iter 5,TF,Case17,5610,0.05
iter 6,TF,Case17,5610,0.05
iter 7,TF,Case17,5610,0.05
iter 8,TF,Case17,5610,0.05
iter 1,TF,Case18,11220,0.05
iter 2,TF,Case18,11220,0.05
iter 3,TF,Case18,11220,0.05
iter 4,TF,Case18,11220,0.05
iter 5,TF,Case18,11220,0.05
iter 6,TF,Case18,11220,0.05
iter 7,TF,Case18,11220,0.05
iter 8,TF,Case18,11220,0.05
iter 1,TF,Case19,22440,0.05
iter 2,TF,Case19,22440,0.05
iter 3,TF,Case19,22440,0.05
iter 4,TF,Case19,22440,0.05
iter 5,TF,Case19,22440,0.05
iter 6,TF,Case19,22440,0.05
iter 7,TF,Case19,22440,0.05
iter 8,TF,Case19,22440,0.05
iter 1,TF,Case20,28050,0.05
iter 2,TF,Case20,28050,0.05
iter 3,TF,Case20,28050,0.05
iter 4,TF,Case20,28050,0.05
iter 5,TF,Case20,28050,0.05
iter 6,TF,Case20,28050,0.05
iter 7,TF,Case20,28050,0.05
iter 8,TF,Case20,28050,0.05
iter 1,TF,Case21,33660,0.05
iter 2,TF,Case21,33660,0.05
iter 3,TF,Case21,33660,0.05
iter 4,TF,Case21,33660,0.05
iter 5,TF,Case21,33660,0.05
iter 6,TF,Case21,33660,0.05
iter 7,TF,Case21,33660,0.05
iter 8,TF,Case21,33660,0.05
iter 1,TF,Case22,44880,0.05
iter 2,TF,Case22,44880,0.05
iter 3,TF,Case22,44880,0.05
iter 4,TF,Case22,44880,0.05
iter 5,TF,Case22,44880,0.05
iter 6,TF,Case22,44880,0.05
iter 7,TF,Case22,44880,0.05
iter 8,TF,Case22,44880,0.05
iter 1,TF,Case23,56100,0.05
iter 2,TF,Case23,56100,0.05
iter 3,TF,Case23,56100,0.05
iter 4,TF,Case23,56100,0.05
iter 5,TF,Case23,56100,0.05
iter 6,TF,Case23,56100,0.05
iter 7,TF,Case23,56100,0.05
iter 8,TF,Case23,56100,0.05
iter 1,TF,Case24,561,0.1
iter 2,TF,Case24,561,0.1
iter 3,TF,Case24,561,0.1
iter 4,TF,Case24,561,0.1
iter 5,TF,Case24,561,0.1
iter 6,TF,Case24,561,0.1
iter 7,TF,Case24,561,0.1
iter 8,TF,Case24,561,0.1
iter 1,TF,Case25,5610,0.1
iter 2,TF,Case25,5610,0.1
iter 3,TF,Case25,5610,0.1
iter 4,TF,Case25,5610,0.1
iter 5,TF,Case25,5610,0.1
iter 6,TF,Case25,5610,0.1
iter 7,TF,Case25,5610,0.1
iter 8,TF,Case25,5610,0.1
iter 1,TF,Case26,11220,0.1
iter 2,TF,Case26,11220,0.1
iter 3,TF,Case26,11220,0.1
iter 4,TF,Case26,11220,0.1
iter 5,TF,Case26,11220,0.1
iter 6,TF,Case26,11220,0.1
iter 7,TF,Case26,11220,0.1
iter 8,TF,Case26,11220,0.1
iter 1,TF,Case27,22440,0.1
iter 2,TF,Case27,22440,0.1
iter 3,TF,Case27,22440,0.1
iter 4,TF,Case27,22440,0.1
iter 5,TF,Case27,22440,0.1
iter 6,TF,Case27,22440,0.1
iter 7,TF,Case27,22440,0.1
iter 8,TF,Case27,22440,0.1
iter 1,TF,Case28,28050,0.1
iter 2,TF,Case28,28050,0.1
iter 3,TF,Case28,28050,0.1
iter 4,TF,Case28,28050,0.1
iter 5,TF,Case28,28050,0.1
iter 6,TF,Case28,28050,0.1
iter 7,TF,Case28,28050,0.1
iter 8,TF,Case28,28050,0.1
iter 1,TF,Case29,33660,0.1
iter 2,TF,Case29,33660,0.1
iter 3,TF,Case29,33660,0.1
iter 4,TF,Case29,33660,0.1
iter 5,TF,Case29,33660,0.1
iter 6,TF,Case29,33660,0.1
iter 7,TF,Case29,33660,0.1
iter 8,TF,Case29,33660,0.1
iter 1,TF,Case30,44880,0.1
iter 2,TF,Case30,44880,0.1
iter 3,TF,Case30,44880,0.1
iter 4,TF,Case30,44880,0.1
iter 5,TF,Case30,44880,0.1
iter 6,TF,Case30,44880,0.1
iter 7,TF,Case30,44880,0.1
iter 8,TF,Case30,44880,0.1
iter 1,TF,Case31,56100,0.1
iter 2,TF,Case31,56100,0.1
iter 3,TF,Case31,56100,0.1
iter 4,TF,Case31,56100,0.1
iter 5,TF,Case31,56100,0.1
iter 6,TF,Case31,56100,0.1
iter 7,TF,Case31,56100,0.1
iter 8,TF,Case31,56100,0.1
iter 1,TF,Case32,561,0.15
iter 2,TF,Case32,561,0.15
iter 3,TF,Case32,561,0.15
iter 4,TF,Case32,561,0.15
iter 5,TF,Case32,561,0.15
iter 6,TF,Case32,561,0.15
iter 7,TF,Case32,561,0.15
iter 8,TF,Case32,561,0.15
iter 1,TF,Case33,5610,0.15
iter 2,TF,Case33,5610,0.15
iter 3,TF,Case33,5610,0.15
iter 4,TF,Case33,5610,0.15
iter 5,TF,Case33,5610,0.15
iter 6,TF,Case33,5610,0.15
iter 7,TF,Case33,5610,0.15
iter 8,TF,Case33,5610,0.15
iter 1,TF,Case34,11220,0.15
iter 2,TF,Case34,11220,0.15
iter 3,TF,Case34,11220,0.15
iter 4,TF,Case34,11220,0.15
iter 5,TF,Case34,11220,0.15
iter 6,TF,Case34,11220,0.15
iter 7,TF,Case34,11220,0.15
iter 8,TF,Case34,11220,0.15
iter 1,TF,Case35,22440,0.15
iter 2,TF,Case35,22440,0.15
iter 3,TF,Case35,22440,0.15
iter 4,TF,Case35,22440,0.15
iter 5,TF,Case35,22440,0.15
iter 6,TF,Case35,22440,0.15
iter 7,TF,Case35,22440,0.15
iter 8,TF,Case35,22440,0.15
iter 1,TF,Case36,28050,0.15
iter 2,TF,Case36,28050,0.15
iter 3,TF,Case36,28050,0.15
iter 4,TF,Case36,28050,0.15
iter 5,TF,Case36,28050,0.15
iter 6,TF,Case36,28050,0.15
iter 7,TF,Case36,28050,0.15
iter 8,TF,Case36,28050,0.15
iter 1,TF,Case37,33660,0.15
iter 2,TF,Case37,33660,0.15
iter 3,TF,Case37,33660,0.15
iter 4,TF,Case37,33660,0.15
iter 5,TF,Case37,33660,0.15
iter 6,TF,Case37,33660,0.15
iter 7,TF,Case37,33660,0.15
iter 8,TF,Case37,33660,0.15
iter 1,TF,Case38,44880,0.15
iter 2,TF,Case38,44880,0.15
iter 3,TF,Case38,44880,0.15
iter 4,TF,Case38,44880,0.15
iter 5,TF,Case38,44880,0.15
iter 6,TF,Case38,44880,0.15
iter 7,TF,Case38,44880,0.15
iter 8,TF,Case38,44880,0.15
iter 1,TF,Case39,56100,0.15
iter 2,TF,Case39,56100,0.15
iter 3,TF,Case39,56100,0.15
iter 4,TF,Case39,56100,0.15
iter 5,TF,Case39,56100,0.15
iter 6,TF,Case39,56100,0.15
iter 7,TF,Case39,56100,0.15
iter 8,TF,Case39,56100,0.15
iter 1,TF,Case40,561,0.2
iter 2,TF,Case40,561,0.2
iter 3,TF,Case40,561,0.2
iter 4,TF,Case40,561,0.2
iter 5,TF,Case40,561,0.2
iter 6,TF,Case40,561,0.2
iter 7,TF,Case40,561,0.2
iter 8,TF,Case40,561,0.2
iter 1,TF,Case41,5610,0.2
iter 2,TF,Case41,5610,0.2
iter 3,TF,Case41,5610,0.2
iter 4,TF,Case41,5610,0.2
iter 5,TF,Case41,5610,0.2
iter 6,TF,Case41,5610,0.2
iter 7,TF,Case41,5610,0.2
iter 8,TF,Case41,5610,0.2
iter 1,TF,Case42,11220,0.2
iter 2,TF,Case42,11220,0.2
iter 3,TF,Case42,11220,0.2
iter 4,TF,Case42,11220,0.2
iter 5,TF,Case42,11220,0.2
iter 6,TF,Case42,11220,0.2
iter 7,TF,Case42,11220,0.2
iter 8,TF,Case42,11220,0.2
iter 1,TF,Case43,22440,0.2
iter 2,TF,Case43,22440,0.2
iter 3,TF,Case43,22440,0.2
iter 4,TF,Case43,22440,0.2
iter 5,TF,Case43,22440,0.2
iter 6,TF,Case43,22440,0.2
iter 7,TF,Case43,22440,0.2
iter 8,TF,Case43,22440,0.2
iter 1,TF,Case44,28050,0.2
iter 2,TF,Case44,28050,0.2
iter 3,TF,Case44,28050,0.2
iter 4,TF,Case44,28050,0.2
iter 5,TF,Case44,28050,0.2
iter 6,TF,Case44,28050,0.2
iter 7,TF,Case44,28050,0.2
iter 8,TF,Case44,28050,0.2
iter 1,TF,Case45,33660,0.2
iter 2,TF,Case45,33660,0.2
iter 3,TF,Case45,33660,0.2
iter 4,TF,Case45,33660,0.2
iter 5,TF,Case45,33660,0.2
iter 6,TF,Case45,33660,0.2
iter 7,TF,Case45,33660,0.2
iter 8,TF,Case45,33660,0.2
iter 1,TF,Case46,44880,0.2
iter 2,TF,Case46,44880,0.2
iter 3,TF,Case46,44880,0.2
iter 4,TF,Case46,44880,0.2
iter 5,TF,Case46,44880,0.2
iter 6,TF,Case46,44880,0.2
iter 7,TF,Case46,44880,0.2
iter 8,TF,Case46,44880,0.2
iter 1,TF,Case47,56100,0.2
iter 2,TF,Case47,56100,0.2
iter 3,TF,Case47,56100,0.2
iter 4,TF,Case47,56100,0.2
iter 5,TF,Case47,56100,0.2
iter 6,TF,Case47,56100,0.2
iter 7,TF,Case47,56100,0.2
iter 8,TF,Case47,56100,0.2
iter 1,TF,Case48,561,1
iter 2,TF,Case48,561,1
iter 3,TF,Case48,561,1
iter 4,TF,Case48,561,1
iter 5,TF,Case48,561,1
iter 6,TF,Case48,561,1
iter 7,TF,Case48,561,1
iter 8,TF,Case48,561,1
iter 1,TF,Case49,5610,1
iter 2,TF,Case49,5610,1
iter 3,TF,Case49,5610,1
iter 4,TF,Case49,5610,1
iter 5,TF,Case49,5610,1
iter 6,TF,Case49,5610,1
iter 7,TF,Case49,5610,1
iter 8,TF,Case49,5610,1
iter 1,TF,Case50,11220,1
iter 2,TF,Case50,11220,1
iter 3,TF,Case50,11220,1
iter 4,TF,Case50,11220,1
iter 5,TF,Case50,11220,1
iter 6,TF,Case50,11220,1
iter 7,TF,Case50,11220,1
iter 8,TF,Case50,11220,1
iter 1,TF,Case51,22440,1
iter 2,TF,Case51,22440,1
iter 3,TF,Case51,22440,1
iter 4,TF,Case51,22440,1
iter 5,TF,Case51,22440,1
iter 6,TF,Case51,22440,1
iter 7,TF,Case51,22440,1
iter 8,TF,Case51,22440,1
iter 1,TF,Case52,28050,1
iter 2,TF,Case52,28050,1
iter 3,TF,Case52,28050,1
iter 4,TF,Case52,28050,1
iter 5,TF,Case52,28050,1
iter 6,TF,Case52,28050,1
iter 7,TF,Case52,28050,1
iter 8,TF,Case52,28050,1
iter 1,TF,Case53,33660,1
iter 2,TF,Case53,33660,1
iter 3,TF,Case53,33660,1
iter 4,TF,Case53,33660,1
iter 5,TF,Case53,33660,1
iter 6,TF,Case53,33660,1
iter 7,TF,Case53,33660,1
iter 8,TF,Case53,33660,1
iter 1,TF,Case54,44880,1
iter 2,TF,Case54,44880,1
iter 3,TF,Case54,44880,1
iter 4,TF,Case54,44880,1
iter 5,TF,Case54,44880,1
iter 6,TF,Case54,44880,1
iter 7,TF,Case54,44880,1
iter 8,TF,Case54,44880,1
iter 1,TF,Case55,56100,1
iter 2,TF,Case55,56100,1
iter 3,TF,Case55,56100,1
iter 4,TF,Case55,56100,1
iter 5,TF,Case55,56100,1
iter 6,TF,Case55,56100,1
iter 7,TF,Case55,56100,1
iter 8,TF,Case55,56100,1
iter 1,TF,Case56,561,15
iter 2,TF,Case56,561,15
iter 3,TF,Case56,561,15
iter 4,TF,Case56,561,15
iter 5,TF,Case56,561,15
iter 6,TF,Case56,561,15
iter 7,TF,Case56,561,15
iter 8,TF,Case56,561,15
iter 1,TF,Case57,5610,15
iter 2,TF,Case57,5610,15
iter 3,TF,Case57,5610,15
iter 4,TF,Case57,5610,15
iter 5,TF,Case57,5610,15
iter 6,TF,Case57,5610,15
iter 7,TF,Case57,5610,15
iter 8,TF,Case57,5610,15
iter 1,TF,Case58,11220,15
iter 2,TF,Case58,11220,15
iter 3,TF,Case58,11220,15
iter 4,TF,Case58,11220,15
iter 5,TF,Case58,11220,15
iter 6,TF,Case58,11220,15
iter 7,TF,Case58,11220,15
iter 8,TF,Case58,11220,15
iter 1,TF,Case59,22440,15
iter 2,TF,Case59,22440,15
iter 3,TF,Case59,22440,15
iter 4,TF,Case59,22440,15
iter 5,TF,Case59,22440,15
iter 6,TF,Case59,22440,15
iter 7,TF,Case59,22440,15
iter 8,TF,Case59,22440,15
iter 1,TF,Case60,28050,15
iter 2,TF,Case60,28050,15
iter 3,TF,Case60,28050,15
iter 4,TF,Case60,28050,15
iter 5,TF,Case60,28050,15
iter 6,TF,Case60,28050,15
iter 7,TF,Case60,28050,15
iter 8,TF,Case60,28050,15
iter 1,TF,Case61,33660,15
iter 2,TF,Case61,33660,15
iter 3,TF,Case61,33660,15
iter 4,TF,Case61,33660,15
iter 5,TF,Case61,33660,15
iter 6,TF,Case61,33660,15
iter 7,TF,Case61,33660,15
iter 8,TF,Case61,33660,15
iter 1,TF,Case62,44880,15
iter 2,TF,Case62,44880,15
iter 3,TF,Case62,44880,15
iter 4,TF,Case62,44880,15
iter 5,TF,Case62,44880,15
iter 6,TF,Case62,44880,15
iter 7,TF,Case62,44880,15
iter 8,TF,Case62,44880,15
iter 1,TF,Case63,56100,15
iter 2,TF,Case63,56100,15
iter 3,TF,Case63,56100,15
iter 4,TF,Case63,56100,15
iter 5,TF,Case63,56100,15
iter 6,TF,Case63,56100,15
iter 7,TF,Case63,56100,15
iter 8,TF,Case63,56100,15
iter 1,TF,Case64,561,20
iter 2,TF,Case64,561,20
iter 3,TF,Case64,561,20
iter 4,TF,Case64,561,20
iter 5,TF,Case64,561,20
iter 6,TF,Case64,561,20
iter 7,TF,Case64,561,20
iter 8,TF,Case64,561,20
iter 1,TF,Case65,5610,20
iter 2,TF,Case65,5610,20
iter 3,TF,Case65,5610,20
iter 4,TF,Case65,5610,20
iter 5,TF,Case65,5610,20
iter 6,TF,Case65,5610,20
iter 7,TF,Case65,5610,20
iter 8,TF,Case65,5610,20
iter 1,TF,Case66,11220,20
iter 2,TF,Case66,11220,20
iter 3,TF,Case66,11220,20
iter 4,TF,Case66,11220,20
iter 5,TF,Case66,11220,20
iter 6,TF,Case66,11220,20
iter 7,TF,Case66,11220,20
iter 8,TF,Case66,11220,20
iter 1,TF,Case67,22440,20
iter 2,TF,Case67,22440,20
iter 3,TF,Case67,22440,20
iter 4,TF,Case67,22440,20
iter 5,TF,Case67,22440,20
iter 6,TF,Case67,22440,20
iter 7,TF,Case67,22440,20
iter 8,TF,Case67,22440,20
iter 1,TF,Case68,28050,20
iter 2,TF,Case68,28050,20
iter 3,TF,Case68,28050,20
iter 4,TF,Case68,28050,20
iter 5,TF,Case68,28050,20
iter 6,TF,Case68,28050,20
iter 7,TF,Case68,28050,20
iter 8,TF,Case68,28050,20
iter 1,TF,Case69,33660,20
iter 2,TF,Case69,33660,20
iter 3,TF,Case69,33660,20
iter 4,TF,Case69,33660,20
iter 5,TF,Case69,33660,20
iter 6,TF,Case69,33660,20
iter 7,TF,Case69,33660,20
iter 8,TF,Case69,33660,20
iter 1,TF,Case70,44880,20
iter 2,TF,Case70,44880,20
iter 3,TF,Case70,44880,20
iter 4,TF,Case70,44880,20
iter 5,TF,Case70,44880,20
iter 6,TF,Case70,44880,20
iter 7,TF,Case70,44880,20
iter 8,TF,Case70,44880,20
iter 1,TF,Case71,56100,20
iter 2,TF,Case71,56100,20
iter 3,TF,Case71,56100,20
iter 4,TF,Case71,56100,20
iter 5,TF,Case71,56100,20
iter 6,TF,Case71,56100,20
iter 7,TF,Case71,56100,20
iter 8,TF,Case71,56100,20
iter 1,TF,Case72,561,30
iter 2,TF,Case72,561,30
iter 3,TF,Case72,561,30
iter 4,TF,Case72,561,30
iter 5,TF,Case72,561,30
iter 6,TF,Case72,561,30
iter 7,TF,Case72,561,30
iter 8,TF,Case72,561,30
iter 1,TF,Case73,5610,30
iter 2,TF,Case73,5610,30
iter 3,TF,Case73,5610,30
iter 4,TF,Case73,5610,30
iter 5,TF,Case73,5610,30
iter 6,TF,Case73,5610,30
iter 7,TF,Case73,5610,30
iter 8,TF,Case73,5610,30
iter 1,TF,Case74,11220,30
iter 2,TF,Case74,11220,30
iter 3,TF,Case74,11220,30
iter 4,TF,Case74,11220,30
iter 5,TF,Case74,11220,30
iter 6,TF,Case74,11220,30
iter 7,TF,Case74,11220,30
iter 8,TF,Case74,11220,30
iter 1,TF,Case75,22440,30
iter 2,TF,Case75,22440,30
iter 3,TF,Case75,22440,30
iter 4,TF,Case75,22440,30
iter 5,TF,Case75,22440,30
iter 6,TF,Case75,22440,30
iter 7,TF,Case75,22440,30
iter 8,TF,Case75,22440,30
iter 1,TF,Case76,28050,30
iter 2,TF,Case76,28050,30
iter 3,TF,Case76,28050,30
iter 4,TF,Case76,28050,30
iter 5,TF,Case76,28050,30
iter 6,TF,Case76,28050,30
iter 7,TF,Case76,28050,30
iter 8,TF,Case76,28050,30
iter 1,TF,Case77,33660,30
iter 2,TF,Case77,33660,30
iter 3,TF,Case77,33660,30
iter 4,TF,Case77,33660,30
iter 5,TF,Case77,33660,30
iter 6,TF,Case77,33660,30
iter 7,TF,Case77,33660,30
iter 8,TF,Case77,33660,30
iter 1,TF,Case78,44880,30
