Run_ID,Cohort,Scenario,PTEN_normal,PTEN_null,Total_cells,Androgen_condition,Uptake_rate_multiplier,Uptake_celltype,Cell_cell_adhesion_multiplier,Migration_speed_multiplier,AdhMot_celltype,Clone_type,Seed
79,BR,Scenario0,145,5,150,Low,-,-,-,-,-,-,84752
80,BR,Scenario0,145,5,150,Low,-,-,-,-,-,-,62700
81,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,42
82,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,101
83,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,2025
84,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,6789
85,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,13579
86,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,24680
87,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,73205
88,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,10939
89,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,84752
90,BR,Scenario0,142,8,150,Low,-,-,-,-,-,-,62700
91,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,42
92,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,101
93,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,2025
94,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,6789
95,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,13579
96,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,24680
97,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,73205
98,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,10939
99,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,84752
100,BR,Scenario0,139,11,150,Low,-,-,-,-,-,-,62700
101,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,42
102,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,101
103,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,2025
104,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,6789
105,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,13579
106,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,24680
107,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,73205
108,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,10939
109,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,84752
110,BR,Scenario0,135,15,150,Low,-,-,-,-,-,-,62700
111,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,42
112,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,101
113,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,2025
114,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,6789
115,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,13579
116,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,24680
117,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,73205
118,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,10939
119,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,84752
120,BR,Scenario0,120,30,150,Low,-,-,-,-,-,-,62700
121,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,42
122,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,101
123,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,2025
124,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,6789
125,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,13579
126,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,24680
127,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,73205
128,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,10939
129,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,84752
130,TR,Scenario0,148,2,150,High,-,-,-,-,-,-,62700
131,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,42
132,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,101
133,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,2025
134,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,6789
135,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,13579
136,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,24680
137,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,73205
138,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,10939
139,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,84752
140,TR,Scenario0,145,5,150,High,-,-,-,-,-,-,62700
141,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,42
142,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,101
143,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,2025
144,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,6789
145,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,13579
146,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,24680
147,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,73205
148,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,10939
149,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,84752
150,TR,Scenario0,142,8,150,High,-,-,-,-,-,-,62700
151,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,42
152,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,101
153,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,2025
154,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,6789
155,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,13579
156,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,24680
157,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,73205
158,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,10939
159,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,84752
160,TR,Scenario0,139,11,150,High,-,-,-,-,-,-,62700
161,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,42
162,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,101
163,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,2025
164,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,6789
165,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,13579
166,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,24680
167,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,73205
168,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,10939
169,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,84752
170,TR,Scenario0,135,15,150,High,-,-,-,-,-,-,62700
171,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,42
172,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,101
173,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,2025
174,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,6789
175,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,13579
176,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,24680
177,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,73205
178,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,10939
179,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,84752
180,TR,Scenario0,120,30,150,High,-,-,-,-,-,-,62700
181,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,42
182,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,101
183,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,2025
184,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,6789
185,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,13579
186,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,24680
187,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,73205
188,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,10939
189,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,84752
190,TR,Scenario0,148,2,150,Low,-,-,-,-,-,-,62700
191,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,42
192,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,101
193,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,2025
194,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,6789
195,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,13579
196,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,24680
197,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,73205
198,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,10939
199,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,84752
200,TR,Scenario0,145,5,150,Low,-,-,-,-,-,-,62700
201,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,42
202,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,101
203,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,2025
204,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,6789
205,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,13579
206,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,24680
207,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,73205
208,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,10939
209,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,84752
210,TR,Scenario0,142,8,150,Low,-,-,-,-,-,-,62700
211,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,42
212,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,101
213,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,2025
214,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,6789
215,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,13579
216,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,24680
217,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,73205
218,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,10939
219,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,84752
220,TR,Scenario0,139,11,150,Low,-,-,-,-,-,-,62700
221,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,42
222,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,101
223,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,2025
224,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,6789
225,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,13579
226,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,24680
227,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,73205
228,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,10939
229,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,84752
230,TR,Scenario0,135,15,150,Low,-,-,-,-,-,-,62700
231,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,42
232,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,101
233,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,2025
234,TR,Scenario0,120,30,150,Low,-,-,-,-,-,-,6789
